segment_id,split_label,anomaly_label,domain_shift_op,domain_shift_env,imp23absu_mic,ism330dhcx_acc,ism330dhcx_gyro
20240423_15_30_05_segment_0,Normal_Source_Train,normal,spd2400,BckgF,imp23absu_mic_20240423_15_30_05_DataLog_0.parquet,ism330dhcx_acc_20240423_15_30_05_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_30_05_DataLog_0.parquet
20240423_12_44_14_segment_0,Normal_Source_Train,normal,spd1500,BckgD,imp23absu_mic_20240423_12_44_14_DataLog_0.parquet,ism330dhcx_acc_20240423_12_44_14_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_44_14_DataLog_0.parquet
20240423_13_48_43_segment_0,Normal_Source_Train,normal,spd1700,BckgD,imp23absu_mic_20240423_13_48_43_DataLog_0.parquet,ism330dhcx_acc_20240423_13_48_43_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_48_43_DataLog_0.parquet
20240423_13_53_30_segment_0,Normal_Source_Train,normal,spd1700,BckgD,imp23absu_mic_20240423_13_53_30_DataLog_0.parquet,ism330dhcx_acc_20240423_13_53_30_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_53_30_DataLog_0.parquet
20240423_13_08_07_segment_0,Normal_Source_Train,normal,spd1600,BckgA,imp23absu_mic_20240423_13_08_07_DataLog_0.parquet,ism330dhcx_acc_20240423_13_08_07_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_08_07_DataLog_0.parquet
20240423_16_38_54_segment_0,Normal_Source_Train,normal,spd3000,BckgF,imp23absu_mic_20240423_16_38_54_DataLog_0.parquet,ism330dhcx_acc_20240423_16_38_54_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_38_54_DataLog_0.parquet
20240423_13_35_10_segment_0,Normal_Source_Train,normal,spd1700,BckgF,imp23absu_mic_20240423_13_35_10_DataLog_0.parquet,ism330dhcx_acc_20240423_13_35_10_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_35_10_DataLog_0.parquet
20240423_15_11_21_segment_0,Normal_Source_Train,normal,spd2000,BckgF,imp23absu_mic_20240423_15_11_21_DataLog_0.parquet,ism330dhcx_acc_20240423_15_11_21_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_11_21_DataLog_0.parquet
20240423_14_16_30_segment_0,Normal_Source_Train,normal,spd1800,BckgA,imp23absu_mic_20240423_14_16_30_DataLog_0.parquet,ism330dhcx_acc_20240423_14_16_30_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_16_30_DataLog_0.parquet
20240423_13_15_41_segment_0,Normal_Source_Train,normal,spd1600,BckgC,imp23absu_mic_20240423_13_15_41_DataLog_0.parquet,ism330dhcx_acc_20240423_13_15_41_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_15_41_DataLog_0.parquet
20240423_13_17_50_segment_0,Normal_Source_Train,normal,spd1600,BckgF,imp23absu_mic_20240423_13_17_50_DataLog_0.parquet,ism330dhcx_acc_20240423_13_17_50_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_17_50_DataLog_0.parquet
